clean_speech,label
good evening washington dc welcome unique event cnnunivision democratic presidential debate two leading candidate democratic nomination former vice president joe biden vermont senator bernie sander candidate welcome good im jake tapper along cnns dana bash univisions ilium calderon,democrat
come together tonight extraordinary time country people worried far presidential politics national emergency devastating global pandemic coronavirus killed nearly people around world dead known case united state result tonight debate focus heavily crisis,democrat
setting debate also different reduce unnecessary risk transmission virus cnn univision democratic national committee campaign moved debate phoenix arizona cnn studio washington without audience,democrat
come course four state florida arizona ohio illinois prepare vote tuesday vice president biden currently leading senator sander race delegate here going tonight second answer question second response rebuttal much hope conversation two,democrat
well first heart go already lost someone suffering virus bigger one u call national rallying everybody move together know laid detail would president today go joebidencom laid significant detail three piece first take care fact exposed likely exposed virus mean testing get testing kit ready would world health organization id take advantage test kit available u even though president say million coming let get test done quickly secondly would make sure every state union least place drivethru testing arrangement would also point deal need begin plan need additional hospital bed capacity department defense well fema set bed bed hospital tent quickly lay deal economic fallout quickly mean making sure people fact lose job dont get paycheck cant pay mortgage able pay pay small business able borrow interestfree loan see time going hold u tightly assume thats would go joebidencom lay precisely would president today,democrat
senator sander morning dr anthony fauci acknowledged possible hundred thousand million american could die coronavirus worstcase scenario president right whats important thing would tonight try save american life,democrat
well firstly whether im president shut president right undermining doctor scientist trying help american people unacceptable blabbering unfactual information confusing general public second need im glad called state national emergency got move aggressively make sure every person country finally understands get sick coronavirus payment made dont worry coming money testing dont worry coming money treatment unprecedented moment american history obviously believe medicare fight president right emergency want every person country understand get sick go doctor get sick virus paid worry cost right middle national emergency second make sure hospital ventilator need ic unit need right lack medical personnel worry much peak whether capability dealing hundred thousand people may hospital need unprecedented action right deal unprecedented crisis bottom line economic point view got say american people lose job made whole youre going lose income trump put fed president trillion banking system protect wage every worker america,democrat
thank senator vice president biden president trump say take responsibility problem coronavirus testing part say inherited many rule regulation red tape bureaucratic red tape hamper response way,democrat
look world health organization offered offered testing kit available give u refused want buy want get wanted make sure think said something like best scientist america something effect idea prepared thing want point agree bernie situation providing hospital going needed needed present system handle surge likely come already sitting planning going put temporary hospital weve coronavirus weve mean excuse weve dealing virus hn well happened africa provided hospital dealing great pandemic able quickly people would place go also provide equipment protect first responder thats done either,democrat
senator sander note addressed obviously another major health concern right official potential surge patient overburdening hospital health care system youve mentioned icu bed ventilator already middle flu season already lot bed ventilator already used president right would make sure every sick american able get treatment u suffer fate italy doctor decide right get lifesaving treatment,democrat
jake let honest understand coronavirus pandemic expose incredible weakness dysfunctionality current health care system spending twice much per person health care people country god name happen end million people uninsured underinsured people watching program tonight saying im feeling well go doctor cant afford go doctor happens sick going cost thousand treatment who going feed kid major country earth guarantee health care people spending much money yet even prepared pandemic come dont enough doctor come hospital rural area shutting come people cant afford get prescription drug need bunch crook running pharmaceutical industry ripping u every single day ill tell something right midst epidemic got people pharmaceutical industry saying oh wow opportunity make fortune,democrat
thank senator vice president biden medical expert saying true way control virus national quarantine requiring every american essential personnel stay home would take unprecedented step national lockdown,democrat
would administration would call meeting situation room expert america dealing crisis would sit would exactly need listen expert need due respect medicare singlepayer system italy doesnt work nothing medicare would solve problem take care right making sure one pay treatment period crisis one pay whatever drug needed period crisis one pay hospitalization crisis period national emergency thats handled working italy right singlepayer system,democrat
regard else would fact position would bring together leading expert world instead united state instead piecemeal sit ebola crisis needed one voice one voice like every day met crisis situation room laying lay overall nation best proposal move forward absence governor making sound decision theyre best going getting health care expert community state move directed white house situation room laying detail like ebola crisis beat,democrat
thank thank senator sander response,democrat
well first dysfunctionality current health care system obviously apparent said earlier people hesitate going doctor youre going maze regulation well income thats income get get clearly prepared trump exacerbates crisis spend twice much per caput health care nation one might expect would enough doctor country one might expect would affordable prescription drug one might expect preparing effectively pandemic ready ventilator icu test kit need bottom line term medicare despite vice president saying expert tell u one reason unprepared unprepared dont system weve got thousand private insurance plan system prepared provide health care people good year without epidemic losing people die every year dont get doctor time clearly crisis making bad situation worse,democrat
nothing youre national crisis national crisis say responding free dont pay thing nothing whether insurance policy crisis war virus war virus nothing copays anything pas law saying pay period,democrat
matter fact thats true law enormous loophole understand nancy pelosi best republican prevented,democrat
youre talking joe enormous loophole within fact necessarily covering treatment people america people going stuck bill unless change going offer legislation fact change,democrat
may offered legislation laid plan would cover exactly covered house laid plan laid would deal crisis nobody nobody pay anything crisis national emergency isnt question whether something could covered insurance anything else treasury going pay national emergency,democrat
thats plan call,democrat
weakness let hypothetical family member diagnosed virus terrible tragedy massive anxiety wife virus husband wreck want go psychologist want get counseling doesnt money maybe kid break leg dont money go health care youre saying right middle crisis know last year least people died america didnt get health care dont universal coverage think thats crisis one five people america afford prescription drug need suffer die consider crisis bottom line need simple system exists canada exists country world american get health care need end discussion save huge sum money trick gut take health care industry funding vice president campaign courage take executive prescription drug industry funding campaign,democrat
thank senator vice president biden,democrat
look national crisis dont want get back forth term politics ive laid plan building obamacare providing public option medicare would cover everyone way idea answer mistake notion regardless whether plan place crisis like attacked abroad something great consequence like war war whatever needed done take care people proposed laid detail everything need term dealing crisis would free paid taxpayer generally generally nothing bernies medicare way,democrat
vice president biden thank,democrat
may vice president mentioned war would deploy u military effort contain virus,democrat
well think use tool make sense using national guard folk think new york state already using national guard something done clearly vice president indicated national emergency worry respond aggressively virus also respond aggressively economic fallout global recession right illinois ohio memory correct governor said theyre closing bar theyre closing restaurant happens worker happens million worker may end losing job think got right trump provide fed provide trillion half liquidity bank weve got say every worker america know dont panic youre going youll able pay mortgage youre going get check,democrat
youre going made whole,democrat
senator going talk economic oh go ahead mr vice president,democrat
answer would call military,democrat
capacity provide surge help hospital need needed across nation would make sure exactly theyre prepared theyve done ebola crisis theyve done capacity build bed hospital tent completely safe secure provide help get done anybody overflow national emergency would call military,democrat
well ebola crisis one thing obviously pandemic far severe impactful country think one thing want remember got lot elderly people country told stay home dont leave house who going get food get food got school country shut ok going make sure kid well crisis become traumatized parent stay home kid cant go work think bottom line crisis got start paying attention vulnerable includes people prison right people homeless shelter right halfamillion people homeless tonight who going respond wall street bailout well people top bailed crook wall street forgot suffering ordinary american time around let u learn lesson let u pay attention working family country,democrat
thank senator,democrat
learned lesson lay detail surging help place vulnerable every single person thats nursing home able tested moving force move capability sitting president sitting situation room right asking question ok youre going close everything well close everything get prescription filled make sure close school child going able get school food program make sure youre going able see get mortgage paid,democrat
covered going take multimultibillion dollar program first thing first first thing take care immediate need relating surging kind capability prevent great bump term going cause pain well moving direction making sure longterm plan make sure,democrat
thank mr vice president going talk moment lot economic impact first senator sander want ask china outbreak first started china government censored whistleblower doctor sounded alarm downplayed true gravity virus,democrat
consequence china face role global crisis,democrat
well one consequence got learn lie american people le frank nature crisis bother much president united state today mr trump praising china good work fact indicated lying people allowing virus move much aggressively case look dont think time recrimination punishing people time way working china learning lot crisis fact know got work got work world health organization got work italy got work country around world ever moment entire world together got support moment,democrat
thats right may respond thats insisted moment broke insist expert china china see happening make clear china would consequence access lead world one ebola crisis bringing whole world together saying must common plan nation affected way virus depending exposure need world leadership need international leadership need someone know bring world together insist fundamental change way approaching,democrat
senator sander,democrat
